id,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
118523,M18060,M,300.3,309.2,1546,35.4,19,0,0,0,0,0,0
88286,L55794,L,297.3,308.4,1629,32.8,4,0,0,0,0,0,0
128409,L49056,L,298.3,308.0,1515,36.0,98,0,0,0,0,0,0
68934,L48407,L,297.0,308.3,1487,40.6,146,0,0,0,0,0,0
39289,L56921,L,298.9,309.9,1363,51.6,175,0,0,0,0,0,0
13697,L51853,L,303.4,311.4,1501,35.8,69,0,0,0,0,0,0
7826,L49767,L,299.0,308.7,1471,47.8,204,0,0,0,0,0,0
13816,L49344,L,299.6,309.2,1662,28.8,181,0,0,0,0,0,0
61003,M15042,M,298.1,308.2,1580,37.6,104,0,0,0,0,0,0
8955,M23008,M,299.7,310.4,1488,39.5,127,0,0,0,0,0,0
1535,M16202,M,298.6,310.1,2023,17.2,15,0,0,0,0,0,0
19734,L54118,L,300.7,311.2,1657,33.4,33,0,0,0,0,0,0
39210,L57052,L,298.6,309.9,1412,42.7,108,0,0,0,0,0,0
135445,M17084,M,299.7,309.0,1378,47.7,155,0,0,0,0,0,0
16984,M24635,M,298.5,309.5,1684,40.8,44,0,0,0,0,0,0
39584,M20620,M,301.9,311.3,1522,35.6,175,0,0,0,0,0,0
25926,L52560,L,302.8,312.3,1694,33.4,198,0,0,0,0,0,0
8596,L47598,L,297.4,308.3,1589,33.1,0,0,0,0,0,0,0
88273,L48658,L,298.3,309.4,1465,48.5,64,0,0,0,0,0,0
132663,M18087,M,300.1,309.0,1426,44.5,102,0,0,0,0,0,0
91656,H36292,H,300.8,311.2,1318,52.0,7,0,0,0,0,0,0
44906,M23378,M,298.5,309.6,1723,28.0,179,0,0,0,0,0,0
8432,M18767,M,302.2,311.2,1474,45.8,111,0,0,0,0,0,0
35183,L55237,L,300.2,311.5,1496,45.5,67,0,0,0,0,0,0
12480,M16737,M,297.8,307.8,1488,33.6,100,0,0,0,0,0,0
123669,M22074,M,299.9,309.8,1910,21.4,111,0,0,0,0,0,0
76832,L50696,L,302.0,311.0,1736,26.6,182,0,0,0,0,0,0
104236,L52048,L,303.6,312.4,1711,28.0,146,0,0,0,0,0,0
129319,L51762,L,302.9,311.2,1357,41.4,71,0,0,0,0,0,0
121838,L56122,L,297.4,308.3,1481,40.1,171,0,0,0,0,0,0
19329,L49814,L,300.0,309.1,1492,37.2,117,0,0,0,0,0,0
73868,M17662,M,300.0,309.3,1486,42.5,196,0,0,0,0,0,0
36403,M24122,M,298.3,309.1,1472,47.0,15,0,0,0,0,0,0
49656,L54052,L,301.1,311.7,1461,37.9,80,0,0,0,0,0,0
78389,M22318,M,300.2,311.5,1541,51.4,76,0,0,0,0,0,0
103837,L52042,L,303.5,312.1,1785,26.7,54,0,0,0,0,0,0
42474,H36642,H,299.8,309.7,1368,47.4,64,0,0,0,0,0,0
124721,M22131,M,300.3,310.4,1293,49.7,2,0,0,0,0,0,1
25467,L56687,L,299.2,310.4,1423,47.6,39,0,0,0,0,0,0
51674,L50235,L,300.1,309.2,1427,38.6,73,0,0,0,0,0,0
71966,L54162,L,300.7,311.1,1440,43.0,135,0,0,0,0,0,0
2012,L56850,L,299.0,310.2,1690,26.4,244,0,0,0,0,0,0
32201,L53676,L,300.7,309.9,1518,34.1,190,0,0,0,0,0,0
133765,L55258,L,300.3,311.8,1535,42.0,113,0,0,0,0,0,0
6229,M21223,M,300.0,309.6,1423,36.2,53,0,0,0,0,0,0
20977,L54479,L,300.1,310.5,1429,50.9,47,0,0,0,0,0,0
29425,M16178,M,299.0,310.3,1681,28.1,177,0,0,0,0,0,0
66085,L53271,L,300.9,310.7,1707,33.4,14,0,0,0,0,0,0
136242,L48253,L,297.0,307.5,1414,47.1,168,0,0,0,0,0,0
29841,L49588,L,299.1,308.4,1356,52.6,188,0,0,0,0,0,0
66215,H31793,H,299.4,308.2,1520,37.6,112,0,0,0,0,0,0
130390,L47643,L,297.4,308.7,1741,25.6,118,0,0,0,0,0,0
76854,L56869,L,299.1,310.3,1362,44.4,46,0,0,0,0,0,0
66526,L52840,L,302.2,311.4,1477,37.6,37,0,0,0,0,0,0
87500,L48990,L,298.1,307.6,1363,40.8,192,0,0,0,0,0,0
117040,M21445,M,301.5,310.5,1479,40.3,156,0,0,0,0,0,0
27166,L55848,L,297.5,308.5,1502,49.9,28,0,0,0,0,0,0
3437,L52391,L,303.7,312.5,1397,54.9,185,0,0,0,0,0,0
48182,L56733,L,299.3,310.7,1495,56.7,144,0,0,0,0,0,0
48507,L53526,L,300.2,309.8,1580,36.7,7,0,0,0,0,0,0
11657,L48956,L,298.5,308.1,1484,38.1,35,0,0,0,0,0,0
24337,L53447,L,300.8,310.5,1449,44.6,171,0,0,0,0,0,0
64670,L47662,L,297.4,309.4,1548,42.9,20,0,0,0,0,0,0
123069,L56303,L,297.4,308.5,1462,33.7,68,0,0,0,0,0,0
16236,M21465,M,301.5,310.7,1460,43.6,2,0,0,0,0,0,0
77572,M20210,M,303.4,312.8,1454,48.0,165,0,0,0,0,0,0
16631,L54709,L,300.1,311.4,1608,33.1,47,0,0,0,0,0,0
22903,L54248,L,300.6,310.6,1461,42.8,173,0,0,0,0,0,0
92239,L55610,L,298.8,309.8,1607,57.2,74,0,0,0,0,0,0
132625,L48607,L,298.7,309.8,1496,40.4,11,0,0,0,0,0,0
133058,L53578,L,300.1,309.8,1480,47.7,159,0,0,0,0,0,0
22364,L53671,L,300.6,309.9,1813,26.4,178,0,0,0,0,0,0
23590,L49295,L,299.4,309.0,1284,60.7,86,0,0,0,0,0,0
39127,L55256,L,300.3,311.8,1360,48.0,124,0,0,0,0,0,0
127989,L55139,L,301.0,312.1,1585,32.4,197,0,0,0,0,0,0
23919,H38710,H,298.2,309.0,1390,48.0,102,0,0,0,0,0,0
124564,L54957,L,300.4,311.5,1431,43.2,43,0,0,0,0,0,0
72812,L52850,L,302.2,311.5,1425,41.2,156,0,0,0,0,0,0
15790,L51219,L,301.9,310.5,1377,48.9,106,0,0,0,0,0,0
88031,H36228,H,301.0,311.2,1467,36.8,36,0,0,0,0,0,0
60076,L55285,L,300.4,311.9,1665,34.6,189,0,0,0,0,0,0
79279,L53409,L,300.6,310.1,1477,39.6,181,0,0,0,0,0,0
39442,M15347,M,297.4,309.1,1491,37.7,183,0,0,0,0,0,0
111811,L55230,L,300.7,312.0,1648,33.0,50,0,0,0,0,0,0
114084,H31371,H,298.1,307.8,1365,56.2,83,0,0,0,0,0,0
36006,H38857,H,298.0,309.0,1411,53.8,73,0,0,0,0,0,0
21819,M22040,M,300.2,310.2,1532,42.5,32,0,0,0,0,0,0
34022,M22615,M,300.4,311.8,1385,47.6,0,0,0,0,0,0,0
118280,L54714,L,300.0,311.2,1401,45.1,71,0,0,0,0,0,0
97155,L56032,L,297.7,309.1,1393,52.1,12,0,0,0,0,0,0
56080,M19695,M,303.4,311.9,1510,42.5,39,0,0,0,0,0,0
40070,L49504,L,299.3,308.7,1450,29.9,108,0,0,0,0,0,0
66118,M15583,M,297.4,308.9,1822,27.9,137,0,0,0,0,0,0
10708,H32148,H,299.8,309.2,1572,30.7,158,0,0,0,0,0,0
84120,L52751,L,302.4,312.0,1562,32.5,10,0,0,0,0,0,0
41083,L49195,L,298.5,308.2,1452,46.5,42,0,0,0,0,0,0
60899,L53418,L,301.3,310.9,1389,51.2,119,0,0,0,0,0,0
24950,L50090,L,300.6,309.5,1725,27.3,0,0,0,0,0,0,0
105230,L49845,L,299.8,309.4,1383,47.2,201,0,0,0,0,0,0
80345,L47816,L,298.3,309.9,1516,33.7,116,0,0,0,0,0,0
105516,M23466,M,297.5,308.4,1505,48.9,215,0,0,0,0,0,0
62634,L48175,L,296.2,307.2,1444,42.6,177,0,0,0,0,0,0
10205,M18026,M,300.4,309.7,1397,52.7,156,0,0,0,0,0,0
127696,L49237,L,299.5,309.4,1480,38.2,12,0,0,0,0,0,0
119057,L56253,L,297.2,308.1,1370,44.3,136,0,0,0,0,0,0
111757,M19264,M,302.6,310.4,1551,34.6,50,0,0,0,0,0,0
3299,L53601,L,300.3,309.9,1467,41.4,98,0,0,0,0,0,0
17245,M18147,M,301.2,310.1,1457,38.5,44,0,0,0,0,0,0
40997,L49403,L,299.7,309.0,1491,40.5,153,0,0,0,0,0,0
121107,L47748,L,297.8,309.7,1563,40.2,155,0,0,0,0,0,0
97585,L49585,L,299.1,308.5,1488,41.5,183,0,0,0,0,0,0
85212,L49860,L,299.8,309.5,1636,35.3,16,0,0,0,0,0,0
20344,L49179,L,298.4,308.1,1662,29.2,7,0,0,0,0,0,0
99590,L47706,L,297.6,309.6,1501,37.2,55,0,0,0,0,0,0
107445,L49108,L,298.1,308.0,1578,35.2,71,0,0,0,0,0,0
76878,L56202,L,297.4,308.3,1548,46.6,68,0,0,0,0,0,0
24657,L50538,L,301.5,310.8,1522,36.6,0,0,0,0,0,0,0
88073,L55099,L,300.8,312.0,1496,44.3,175,0,0,0,0,0,0
86439,M18981,M,302.0,310.5,1758,26.0,171,0,0,0,0,0,0
56614,L53392,L,300.8,310.6,1452,46.5,17,0,0,0,0,0,0
100312,L55452,L,298.9,310.6,1520,38.8,190,0,0,0,0,0,0
96487,L55779,L,297.6,308.4,1371,40.3,195,0,0,0,0,0,0
41817,M23193,M,298.6,309.6,1481,40.4,156,0,0,0,0,0,0
96871,M16236,M,298.8,310.1,1457,31.2,102,0,0,0,0,0,0
55322,M18584,M,302.3,311.0,1563,35.0,98,0,0,0,0,0,0
13024,L51377,L,302.4,311.0,1423,45.6,193,0,0,0,0,0,0
38486,L55928,L,297.4,308.8,1405,48.6,143,0,0,0,0,0,0
106241,M19938,M,304.3,313.4,1482,53.9,41,0,0,0,0,0,0
96449,L54961,L,300.5,312.0,1561,34.5,51,0,0,0,0,0,0
132954,L56947,L,298.6,309.6,1629,35.6,174,0,0,0,0,0,0
56014,L53620,L,300.6,310.2,1495,31.7,46,0,0,0,0,0,0
128504,H37697,H,298.9,310.6,1454,33.0,221,0,0,0,0,0,0
20889,L54309,L,300.6,310.0,1564,39.9,107,0,0,0,0,0,0
85228,L50608,L,301.6,310.7,1336,57.5,110,0,0,0,0,0,0
70853,L53122,L,300.7,310.7,1532,38.4,80,0,0,0,0,0,0
90156,L52392,L,303.7,312.7,1402,50.0,173,0,0,0,0,0,0
105921,M21997,M,300.6,310.0,1432,41.2,15,0,0,0,0,0,0
18646,L53937,L,301.8,311.2,1822,44.9,204,0,0,0,0,0,0
52489,L53146,L,300.6,310.7,1434,43.2,153,0,0,0,0,0,0
117371,L48183,L,296.2,307.1,1542,35.0,203,0,0,0,0,0,0
83602,M22250,M,299.6,310.5,1690,27.8,126,0,0,0,0,0,0
122040,L54261,L,300.7,310.3,1615,30.9,205,0,0,0,0,0,0
109937,H38884,H,298.6,309.4,1439,47.1,85,0,0,0,0,0,0
115484,L56836,L,299.0,310.0,1623,33.0,210,0,0,0,0,0,0
79822,L56247,L,297.3,308.2,1351,59.1,174,0,0,0,0,0,0
109127,M20910,M,300.8,310.8,1705,29.7,133,0,0,0,0,0,0
65942,M21414,M,301.4,310.7,1621,29.8,127,0,0,0,0,0,0
40252,M20351,M,302.7,312.2,1564,32.8,52,0,0,0,0,0,0
55302,L56532,L,298.2,308.7,1780,25.8,37,0,0,0,0,0,0
95957,M20932,M,300.9,310.9,1764,27.2,188,0,0,0,0,0,0
29992,L54561,L,299.8,310.4,1495,43.0,101,0,0,0,0,0,0
30167,M23808,M,297.4,308.3,1452,43.0,127,0,0,0,0,0,0
53155,L49102,L,298.0,308.1,1459,46.9,37,0,0,0,0,0,0
47496,M22809,M,300.7,311.5,1569,37.8,23,0,0,0,0,0,0
126269,L47606,L,297.4,308.5,1468,44.9,154,0,0,0,0,0,0
23030,L56682,L,299.3,310.3,1495,49.2,16,0,0,0,0,0,0
45982,L49659,L,299.0,308.5,1604,34.7,2,0,0,0,0,0,0
50611,L48348,L,297.1,308.1,1584,36.8,223,0,0,0,0,0,0
45857,L55174,L,301.0,312.3,1465,43.5,13,0,0,0,0,0,0
128674,L54140,L,300.7,311.0,1435,48.6,121,0,0,0,0,0,0
124983,L51923,L,303.3,311.3,1534,37.0,12,0,0,0,0,0,0
1865,L56414,L,298.3,309.1,1435,45.4,140,0,0,0,0,0,0
43581,L49994,L,300.0,309.3,1395,56.5,148,0,0,0,0,0,0
88653,L47884,L,296.9,307.8,1458,48.0,109,0,0,0,0,0,0
67982,M17795,M,300.8,309.7,1680,28.2,26,0,0,0,0,0,0
61798,L55088,L,300.8,312.2,1490,37.8,144,0,0,0,0,0,0
22492,M19352,M,302.6,310.5,1506,37.8,25,0,0,0,0,0,0
87852,L54237,L,300.8,310.4,1514,44.6,144,0,0,0,0,0,0
87976,L49197,L,298.7,308.4,1483,42.5,92,0,0,0,0,0,0
66998,L55237,L,300.2,311.5,1433,50.2,138,0,0,0,0,0,0
28122,L51826,L,303.3,311.4,1497,46.0,234,0,0,0,0,0,0
133850,L47294,L,298.8,308.6,1455,47.7,95,0,0,0,0,0,0
5907,L53822,L,301.6,310.4,1431,37.2,137,0,0,0,0,0,0
117533,L54518,L,299.6,310.3,1725,26.9,215,0,0,0,0,0,0
112646,L50079,L,300.6,309.4,1393,48.0,101,0,0,0,0,0,0
118660,L47307,L,299.0,308.6,1570,35.2,156,0,0,0,0,0,0
108734,L49061,L,298.0,307.6,1559,37.7,111,0,0,0,0,0,0
51194,M20654,M,301.9,311.5,1492,30.5,189,0,0,0,0,0,0
30121,M24185,M,298.5,309.3,1510,40.8,177,0,0,0,0,0,0
12650,L48361,L,297.2,308.3,1379,52.1,23,0,0,0,0,0,0
13036,M23821,M,297.3,308.0,1403,38.6,77,0,0,0,0,0,0
134305,H30117,H,297.7,308.9,1366,47.3,33,0,0,0,0,0,0
110529,L54589,L,299.9,310.9,1490,42.6,0,0,0,0,0,0,0
60768,L49454,L,299.3,308.6,1698,33.7,49,0,0,0,0,0,0
135388,L51408,L,302.6,311.0,1387,55.2,41,0,0,0,0,0,0
73947,M20932,M,300.9,310.7,1542,37.2,0,0,0,0,0,0,0
80139,L54014,L,301.1,311.0,1419,51.1,190,0,0,0,0,0,0
127584,M16245,M,298.9,309.9,1532,38.6,39,0,0,0,0,0,0
107957,L55348,L,299.9,311.4,1454,37.6,148,0,0,0,0,0,0
45487,M19012,M,302.0,310.5,1425,49.6,76,0,0,0,0,0,0
111573,L47227,L,298.8,309.1,1418,44.3,57,0,0,0,0,0,0
6799,L52774,L,302.6,311.9,1609,31.9,65,0,0,0,0,0,0
10330,H36228,H,301.1,311.5,1479,41.2,0,0,0,0,0,0,0
77588,L49117,L,298.5,308.0,1489,41.8,48,0,0,0,0,0,0
119638,M15062,M,298.4,308.5,1525,37.1,107,0,0,0,0,0,0
19834,M18784,M,302.5,311.4,1636,35.0,146,0,0,0,0,0,0
50938,L50794,L,301.8,311.0,1609,32.3,2,0,0,0,0,0,0
5523,L54837,L,300.5,311.6,1658,30.6,156,0,0,0,0,0,0
100781,L50101,L,300.8,309.8,1431,41.4,151,0,0,0,0,0,0
74644,L54349,L,300.3,310.2,1590,38.2,2,0,0,0,0,0,0
112743,L49128,L,298.1,308.0,1410,50.1,71,0,0,0,0,0,0
44963,H34710,H,303.2,313.3,1609,32.1,181,0,0,0,0,0,0
104494,L54847,L,300.6,311.5,1456,42.4,185,0,0,0,0,0,0
79025,L47643,L,297.4,308.5,1623,34.5,0,0,0,0,0,0,0
40726,L51229,L,301.9,310.8,1505,41.2,33,0,0,0,0,0,0
34409,L54873,L,300.6,311.6,1424,47.5,104,0,0,0,0,0,0
134617,M19770,M,303.5,312.4,1563,36.0,17,0,0,0,0,0,0
118522,L56838,L,299.0,309.9,1548,53.4,86,0,0,0,0,0,0
127189,L55127,L,300.8,311.7,1462,41.4,33,0,0,0,0,0,0
84053,L48891,L,298.2,307.8,1543,33.3,68,0,0,0,0,0,0
78065,M16148,M,298.5,309.6,1585,48.2,107,0,0,0,0,0,0
117370,H29979,H,297.5,309.4,1678,31.5,148,0,0,0,0,0,0
41942,M24784,M,298.5,308.6,1466,45.7,44,0,0,0,0,0,0
66274,L47922,L,296.6,308.2,1643,34.7,191,0,0,0,0,0,0
93490,L47997,L,296.8,307.6,1368,48.0,140,0,0,0,0,0,0
114451,L56251,L,297.2,308.1,1562,33.0,104,0,0,0,0,0,0
27666,L47786,L,297.9,309.9,1461,50.5,96,0,0,0,0,0,0
82283,L54981,L,300.0,311.4,1451,49.6,55,0,0,0,0,0,0
125323,L53470,L,301.0,310.3,1375,47.3,79,0,0,0,0,0,0
71648,M15004,M,298.6,308.5,1448,42.0,181,0,0,0,0,0,0
13141,L51561,L,301.8,309.6,1446,43.2,225,0,0,0,0,0,0
62344,L53852,L,301.5,310.5,1732,26.1,116,0,0,0,0,0,0
20020,L54457,L,300.1,310.2,1711,27.7,47,0,0,0,0,0,0
130122,L56898,L,299.1,310.1,1457,44.4,104,0,0,0,0,0,0
135501,L55003,L,299.9,311.3,1498,37.3,158,0,0,0,0,0,0
100446,L53357,L,301.0,310.8,1527,46.8,8,0,0,0,0,0,0
69336,L53345,L,300.9,310.7,1523,40.2,205,0,0,0,0,0,0
129343,L47790,L,298.1,310.0,1534,35.0,190,0,0,0,0,0,0
118699,L50466,L,301.0,310.0,1648,34.9,32,0,0,0,0,0,0
129166,L54014,L,301.1,311.1,1436,53.1,104,0,0,0,0,0,0
38868,L50944,L,302.4,311.0,1960,20.7,182,0,0,0,0,0,0
122869,M22229,M,299.8,310.1,1681,29.7,76,0,0,0,0,0,0
54600,L55802,L,297.5,308.5,1437,40.2,29,0,0,0,0,0,0
105993,L56547,L,297.9,308.5,1679,33.6,70,0,0,0,0,0,0
2933,L52252,L,304.1,313.1,1314,54.3,28,0,0,0,0,0,0
111801,L51343,L,302.1,310.5,1496,36.9,107,0,0,0,0,0,0
25353,L50640,L,301.5,310.3,1540,36.4,22,0,0,0,0,0,0
26363,L56906,L,298.8,309.8,1546,40.4,139,0,0,0,0,0,0
38725,M18519,M,302.2,311.5,1434,50.7,116,0,0,0,0,0,0
11973,M24432,M,299.3,310.8,1409,46.9,192,0,0,0,0,0,0
86561,L51287,L,302.0,310.6,1448,46.5,184,0,0,0,0,0,0
56391,L57079,L,298.7,309.2,1359,44.0,104,0,0,0,0,0,0
28922,L49626,L,299.1,308.6,1422,48.9,83,0,0,0,0,0,0
123596,M20649,M,301.8,311.5,1458,41.8,136,0,0,0,0,0,0
115503,L51052,L,302.3,311.0,1452,47.4,15,0,0,0,0,0,0
129721,M18581,M,302.6,311.2,1331,51.5,69,0,0,0,0,0,0
51758,M18683,M,302.3,310.9,1579,34.3,207,0,0,0,0,0,0
16243,L50579,L,301.5,310.7,1551,36.1,107,0,0,0,0,0,0
115253,L48962,L,298.4,308.0,1758,24.1,0,0,0,0,0,0,0
112410,L56405,L,298.0,309.1,1498,38.0,7,0,0,0,0,0,0
79119,L55054,L,300.7,312.2,1495,41.5,202,0,0,0,0,0,0
18447,L56698,L,299.0,310.1,1629,41.9,55,0,0,0,0,0,0
84512,M19269,M,302.4,310.1,1520,38.8,152,0,0,0,0,0,0
50105,L56205,L,297.5,308.4,1842,20.9,121,0,0,0,0,0,0
18224,L55257,L,300.3,311.9,1420,40.3,123,0,0,0,0,0,0
126408,L54210,L,300.6,311.0,1433,44.0,153,0,0,0,0,0,0
42571,L54746,L,300.3,311.3,1444,51.0,168,0,0,0,0,0,0
103450,L55253,L,300.5,312.0,1399,36.7,113,0,0,0,0,0,0
124657,L48631,L,298.9,310.4,1645,30.4,9,0,0,0,0,0,0
98580,H38144,H,297.3,308.0,1381,52.5,66,0,0,0,0,0,0
71525,H39002,H,299.3,310.4,1510,31.4,27,0,0,0,0,0,0
58566,L53306,L,300.9,310.9,1450,40.9,171,0,0,0,0,0,0
50889,M17941,M,300.0,309.4,1550,33.8,132,0,0,0,0,0,0
112210,M18687,M,302.4,310.9,1350,52.0,68,0,0,0,0,0,0
119672,L51278,L,301.9,311.0,1500,39.4,129,0,0,0,0,0,0
9095,L52139,L,303.8,312.6,1620,37.2,73,0,0,0,0,0,0
73583,L49578,L,299.2,308.5,1490,43.2,183,0,0,0,0,0,0
52600,L56443,L,298.1,308.9,1767,27.6,26,0,0,0,0,0,0
17661,L53900,L,301.3,310.7,1391,48.0,57,0,0,0,0,0,0
49748,L51242,L,302.0,310.9,1452,44.0,64,0,0,0,0,0,0
18761,L49553,L,299.2,308.4,1336,50.3,96,0,0,0,0,0,0
125662,L49037,L,297.7,307.4,1365,54.2,55,0,0,0,0,0,0
127330,L50784,L,301.8,310.8,1557,31.8,190,0,0,0,0,0,0
38903,L54033,L,300.9,311.1,1713,27.0,24,0,0,0,0,0,0
77087,L54603,L,300.0,311.4,1484,42.4,213,0,0,0,0,0,0
130936,M23910,M,297.3,308.4,1526,37.2,162,0,0,0,0,0,0
38255,M17787,M,300.7,309.6,1532,39.0,165,0,0,0,0,0,0
118251,L51510,L,301.6,309.8,1476,42.6,96,0,0,0,0,0,0
73075,M16446,M,298.2,308.4,1310,44.2,76,0,0,0,0,0,0
112795,H35158,H,300.5,310.0,1715,30.6,129,0,0,0,0,0,0
51779,H29951,H,297.5,309.4,1520,43.0,146,0,0,0,0,0,0
84446,L49304,L,299.3,308.9,1425,44.4,117,0,0,0,0,0,0
91927,L55726,L,298.5,309.3,1469,36.6,66,0,0,0,0,0,0
71527,L55930,L,297.6,308.6,1555,38.5,2,0,0,0,0,0,0
122388,M15131,M,298.0,308.1,1727,30.5,153,0,0,0,0,0,0
38031,L50488,L,301.4,310.4,1433,41.2,86,0,0,0,0,0,0
31697,H37106,H,300.7,311.7,1471,46.3,32,0,0,0,0,0,0
78372,L55807,L,297.4,308.6,1570,37.9,43,0,0,0,0,0,0
3887,L56575,L,297.7,308.4,1538,38.9,61,0,0,0,0,0,0
53306,L48793,L,297.9,308.0,1654,34.0,41,0,0,0,0,0,0
66325,L50602,L,301.5,310.4,1615,34.1,151,0,0,0,0,0,0
88625,L52723,L,302.4,311.8,1574,34.6,140,0,0,0,0,0,0
59056,L56532,L,298.2,308.8,1530,37.9,35,0,0,0,0,0,0
21838,M15120,M,298.1,308.2,1526,41.5,5,0,0,0,0,0,0
1729,H36780,H,299.6,310.1,1531,36.8,13,0,0,0,0,0,0
47376,M17691,M,300.3,309.2,1463,45.1,58,0,0,0,0,0,0
87114,L52988,L,301.5,311.0,1633,36.7,182,0,0,0,0,0,0
1049,M24753,M,298.9,309.6,1563,38.0,37,0,0,0,0,0,0
130881,L54419,L,299.8,310.5,1450,40.3,177,0,0,0,0,0,0
130425,L47698,L,297.5,309.5,1829,20.6,37,0,0,0,0,0,0
120737,L50608,L,301.5,310.5,1459,40.6,74,0,0,0,0,0,0
114556,L55874,L,297.2,308.3,1630,32.9,50,0,0,0,0,0,0
136257,M23185,M,298.7,309.7,1442,41.9,171,0,0,0,0,0,0
69882,L48182,L,296.3,307.2,1517,35.0,69,0,0,0,0,0,0
45999,L52704,L,302.6,311.9,1430,44.9,173,0,0,0,0,0,0
37904,L54140,L,300.7,311.0,1413,52.0,91,0,0,0,0,0,0
16793,L51979,L,303.5,312.4,1418,42.2,170,0,0,0,0,0,0
90943,L56798,L,299.0,310.1,1447,31.3,104,0,0,0,0,0,0
31655,L56073,L,297.5,308.7,1631,46.5,121,0,0,0,0,0,0
